tt.moment,variety,comment,sucre,forme,type,sexe,CSP,Sport,age,frequency,bon.pr.la.sante
Pas.tt moment,noir,pur,sucré,sachet,t_inconnu,H,cadre moyen,sportif,39,1/jour,bon pr la santé
Pas.tt moment,noir,lait,Pas.sucré,sachet,t_variable,F,cadre moyen,sportif,45,1/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,F,autre actif,sportif,47,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_variable,H,étudiant,Pas.sportif,23,1/jour,bon pr la santé
tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,H,employé,sportif,48,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_MDD,H,étudiant,sportif,21,1/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,H,cadre sup,sportif,37,3 à 6/sem,bon pr la santé
Pas.tt moment,noir,lait,Pas.sucré,sachet,t_variable,F,cadre moyen,sportif,36,1 à 2/sem,bon pr la santé
Pas.tt moment,parfumé,lait,Pas.sucré,sachet+vrac,t_haut_de_gamme,H,cadre sup,sportif,40,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet+vrac,t_haut_de_gamme,H,cadre sup,Pas.sportif,37,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_inconnu,H,cadre moyen,sportif,32,1/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_variable,H,cadre moyen,sportif,31,1/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,lait,Pas.sucré,sachet+vrac,t_MDD,H,cadre sup,sportif,56,1/jour,Pas.bon pr la santé
Pas.tt moment,noir,lait,sucré,sachet,t_marque_connue,H,non actif,sportif,66,+ de 2/jour,bon pr la santé
Pas.tt moment,noir,lait,Pas.sucré,sachet,t_haut_de_gamme,H,non actif,sportif,65,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,sucré,vrac,t_haut_de_gamme,H,cadre moyen,sportif,60,+ de 2/jour,bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet+vrac,t_haut_de_gamme,H,cadre moyen,sportif,35,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,F,non actif,sportif,72,+ de 2/jour,bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet,t_marque_connue,F,non actif,Pas.sportif,73,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet,t_variable,F,non actif,sportif,80,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,citron,Pas.sucré,sachet,t_variable,F,non actif,Pas.sportif,76,+ de 2/jour,bon pr la santé
Pas.tt moment,noir,autre,Pas.sucré,sachet+vrac,t_variable,F,non actif,sportif,63,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_haut_de_gamme,F,non actif,sportif,55,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet,t_haut_de_gamme,F,non actif,Pas.sportif,56,+ de 2/jour,bon pr la santé
tt moment,parfumé,pur,Pas.sucré,vrac,t_marque_connue,F,non actif,Pas.sportif,60,+ de 2/jour,bon pr la santé
tt moment,parfumé,lait,Pas.sucré,sachet,t_inconnu,F,étudiant,sportif,22,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_variable,F,employé,sportif,24,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet+vrac,t_variable,F,cadre moyen,sportif,21,+ de 2/jour,bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet,t_variable,F,non actif,Pas.sportif,75,1 à 2/sem,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_variable,F,non actif,Pas.sportif,37,+ de 2/jour,bon pr la santé
tt moment,parfumé,pur,Pas.sucré,vrac,t_haut_de_gamme,F,cadre moyen,sportif,32,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,citron,sucré,sachet+vrac,t_variable,F,cadre moyen,Pas.sportif,32,1/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet+vrac,t_variable,F,cadre moyen,Pas.sportif,38,3 à 6/sem,Pas.bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet,t_MDD,F,non actif,Pas.sportif,50,3 à 6/sem,bon pr la santé
tt moment,noir,citron,Pas.sucré,sachet+vrac,t_haut_de_gamme,F,employé,sportif,26,1/jour,bon pr la santé
Pas.tt moment,parfumé,lait,sucré,sachet,t_variable,H,cadre sup,Pas.sportif,39,1/jour,Pas.bon pr la santé
Pas.tt moment,vert,pur,Pas.sucré,sachet+vrac,t_marque_connue,F,étudiant,sportif,17,1/jour,Pas.bon pr la santé
Pas.tt moment,vert,pur,Pas.sucré,sachet,t_marque_connue,F,non actif,Pas.sportif,45,+ de 2/jour,bon pr la santé
tt moment,parfumé,lait,Pas.sucré,sachet,t_marque_connue,F,cadre moyen,Pas.sportif,36,+ de 2/jour,bon pr la santé
Pas.tt moment,vert,pur,Pas.sucré,sachet+vrac,t_marque_connue,F,cadre moyen,Pas.sportif,37,3 à 6/sem,bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_marque_connue,F,non actif,Pas.sportif,71,+ de 2/jour,bon pr la santé
Pas.tt moment,vert,pur,Pas.sucré,sachet,t_MDD,F,autre actif,sportif,48,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,lait,Pas.sucré,sachet,t_marque_connue,F,étudiant,Pas.sportif,23,1/jour,bon pr la santé
Pas.tt moment,noir,autre,Pas.sucré,sachet,t_variable,F,non actif,Pas.sportif,70,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,F,étudiant,sportif,19,3 à 6/sem,bon pr la santé
tt moment,parfumé,lait,sucré,sachet,t_variable,F,étudiant,sportif,25,1/jour,bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_inconnu,F,étudiant,Pas.sportif,22,1 à 2/sem,bon pr la santé
tt moment,parfumé,pur,Pas.sucré,sachet+vrac,t_variable,F,étudiant,sportif,22,1 à 2/sem,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet+vrac,t_MDD,F,employé,Pas.sportif,34,1/jour,Pas.bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet+vrac,t_haut_de_gamme,F,étudiant,sportif,23,+ de 2/jour,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet+vrac,t_variable,F,employé,sportif,21,1/jour,bon pr la santé
tt moment,noir,pur,sucré,sachet+vrac,t_haut_de_gamme,F,employé,sportif,37,1 à 2/sem,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,vrac,t_haut_de_gamme,F,non actif,sportif,40,3 à 6/sem,Pas.bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet,t_haut_de_gamme,F,étudiant,sportif,18,1 à 2/sem,bon pr la santé
tt moment,vert,lait,sucré,sachet,t_marque_connue,F,employé,sportif,18,1/jour,bon pr la santé
tt moment,parfumé,pur,Pas.sucré,sachet+vrac,t_variable,F,cadre moyen,sportif,56,3 à 6/sem,Pas.bon pr la santé
Pas.tt moment,vert,pur,Pas.sucré,sachet,t_variable,F,autre actif,Pas.sportif,34,1/jour,bon pr la santé
Pas.tt moment,parfumé,lait,sucré,sachet+vrac,t_variable,H,autre actif,sportif,32,+ de 2/jour,bon pr la santé
Pas.tt moment,vert,citron,sucré,sachet+vrac,t_variable,F,cadre sup,Pas.sportif,60,3 à 6/sem,bon pr la santé
Pas.tt moment,noir,pur,Pas.sucré,sachet+vrac,t_marque_connue,F,non actif,sportif,66,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet+vrac,t_variable,F,cadre sup,sportif,49,3 à 6/sem,Pas.bon pr la santé
tt moment,parfumé,pur,Pas.sucré,vrac,t_marque_connue,F,étudiant,Pas.sportif,28,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,Pas.sucré,sachet,t_variable,F,non actif,Pas.sportif,22,1/jour,bon pr la santé
tt moment,noir,pur,Pas.sucré,sachet,t_variable,F,cadre moyen,Pas.sportif,35,+ de 2/jour,bon pr la santé
Pas.tt moment,parfumé,pur,sucré,sachet+vrac,t_variable,F,employé,sportif,25,1 à 2/sem,bon pr la santé
